nohup: ignoring input
use_cuda: True
use_cuda: True
Loading syncnet from checkpoint: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/sync_original/lipsync_expert.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/gen_checkpoint_384_4_000096000_2024-01-01.pth
Load checkpoint from: /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Load optimizer state from /mnt/sdb/liwen/wav2lip_288x288/checkpoints/wav2lip/sam/disc_checkpoint_384_4_000096000_2024-01-01.pth
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/lpips/weights/v0.1/alex.pth
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/mnt/sdb/miniconda3/envs/wav2lip/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Step 96034 | L1: 0.07046 | Vgg: 0.1133 | SW: 0.03 | Sync: 14.1 | DW: 0.025 | Percep: 1.632 | Fake: 0.0, Real: 0.0 | Load: 0.02626, Train: 0.4609
Step 96035 | L1: 0.0708 | Vgg: 0.1133 | SW: 0.03 | Sync: 14.47 | DW: 0.025 | Percep: 1.634 | Fake: 0.0, Real: 0.0 | Load: 0.02493, Train: 0.4467
Step 96036 | L1: 0.07057 | Vgg: 0.1134 | SW: 0.03 | Sync: 14.19 | DW: 0.025 | Percep: 1.635 | Fake: 0.0, Real: 0.0 | Load: 0.02471, Train: 0.4459
Step 96037 | L1: 0.07102 | Vgg: 0.1137 | SW: 0.03 | Sync: 13.9 | DW: 0.025 | Percep: 1.637 | Fake: 0.0, Real: 0.0 | Load: 0.03207, Train: 0.5015
Step 96038 | L1: 0.07081 | Vgg: 0.1137 | SW: 0.03 | Sync: 14.86 | DW: 0.025 | Percep: 1.638 | Fake: 0.0, Real: 0.0 | Load: 0.02907, Train: 0.4558
Step 96039 | L1: 0.07095 | Vgg: 0.1134 | SW: 0.03 | Sync: 15.8 | DW: 0.025 | Percep: 1.64 | Fake: 0.0, Real: 0.0 | Load: 0.0247, Train: 0.4396
Step 96040 | L1: 0.07102 | Vgg: 0.1134 | SW: 0.03 | Sync: 16.11 | DW: 0.025 | Percep: 1.641 | Fake: 0.0, Real: 0.0 | Load: 0.02366, Train: 0.4336
Step 96041 | L1: 0.07078 | Vgg: 0.1132 | SW: 0.03 | Sync: 15.78 | DW: 0.025 | Percep: 1.642 | Fake: 0.0, Real: 0.0 | Load: 0.02829, Train: 0.606
Step 96042 | L1: 0.07117 | Vgg: 0.1137 | SW: 0.03 | Sync: 15.48 | DW: 0.025 | Percep: 1.643 | Fake: 0.0, Real: 0.0 | Load: 0.02432, Train: 0.4486
Step 96043 | L1: 0.07098 | Vgg: 0.113 | SW: 0.03 | Sync: 16.31 | DW: 0.025 | Percep: 1.644 | Fake: 0.0, Real: 0.0 | Load: 0.02384, Train: 0.4507
Step 96044 | L1: 0.0712 | Vgg: 0.1137 | SW: 0.03 | Sync: 17.12 | DW: 0.025 | Percep: 1.645 | Fake: 0.0, Real: 0.0 | Load: 0.02397, Train: 0.4474
Step 96045 | L1: 0.07216 | Vgg: 0.1136 | SW: 0.03 | Sync: 17.35 | DW: 0.025 | Percep: 1.646 | Fake: 0.0, Real: 0.0 | Load: 0.02391, Train: 0.4289
Step 96046 | L1: 0.07182 | Vgg: 0.1131 | SW: 0.03 | Sync: 17.57 | DW: 0.025 | Percep: 1.647 | Fake: 0.0, Real: 0.0 | Load: 0.0242, Train: 0.4421
Step 96047 | L1: 0.07185 | Vgg: 0.1132 | SW: 0.03 | Sync: 17.25 | DW: 0.025 | Percep: 1.647 | Fake: 0.0, Real: 0.0 | Load: 0.02997, Train: 0.4195
Step 96048 | L1: 0.07153 | Vgg: 0.1129 | SW: 0.03 | Sync: 16.94 | DW: 0.025 | Percep: 1.648 | Fake: 0.0, Real: 0.0 | Load: 0.03255, Train: 0.4253
Step 96049 | L1: 0.07159 | Vgg: 0.1134 | SW: 0.03 | Sync: 16.62 | DW: 0.025 | Percep: 1.648 | Fake: 0.0, Real: 0.0 | Load: 0.02584, Train: 0.4624
Step 96050 | L1: 0.07144 | Vgg: 0.113 | SW: 0.03 | Sync: 16.34 | DW: 0.025 | Percep: 1.649 | Fake: 0.0, Real: 0.0 | Load: 0.02372, Train: 0.4416
Step 96051 | L1: 0.07186 | Vgg: 0.1128 | SW: 0.03 | Sync: 17.03 | DW: 0.025 | Percep: 1.649 | Fake: 0.0, Real: 0.0 | Load: 0.02552, Train: 0.5751
Step 96052 | L1: 0.07148 | Vgg: 0.1122 | SW: 0.03 | Sync: 16.73 | DW: 0.025 | Percep: 1.649 | Fake: 0.0, Real: 0.0 | Load: 0.02461, Train: 0.44
